3::Grumpier Old Men (1995)::Comedy|Romance
7::Sabrina (1995)::Comedy|Romance
11::American President, The (1995)::Comedy|Drama|Romance
15::Cutthroat Island (1995)::Action|Adventure|Romance
17::Sense and Sensibility (1995)::Drama|Romance
25::Leaving Las Vegas (1995)::Drama|Romance
28::Persuasion (1995)::Romance
33::Wings of Courage (1995)::Adventure|Romance
35::Carrington (1995)::Drama|Romance
39::Clueless (1995)::Comedy|Romance
46::How to Make an American Quilt (1995)::Drama|Romance
48::Pocahontas (1995)::Animation|Children's|Musical|Romance
49::When Night Is Falling (1995)::Drama|Romance
58::Postino, Il (The Postman) (1994)::Drama|Romance
64::Two if by Sea (1996)::Comedy|Romance
68::French Twist (Gazon maudit) (1995)::Comedy|Romance
74::Bed of Roses (1996)::Drama|Romance
81::Things to Do in Denver when You're Dead (1995)::Crime|Drama|Romance
85::Angels and Insects (1995)::Drama|Romance
93::Vampire in Brooklyn (1995)::Comedy|Romance
105::Bridges of Madison County, The (1995)::Drama|Romance
118::If Lucy Fell (1996)::Comedy|Romance
122::Boomerang (1992)::Comedy|Romance
123::Chungking Express (1994)::Drama|Mystery|Romance
129::Pie in the Sky (1995)::Comedy|Romance
131::Frankie Starlight (1995)::Drama|Romance
140::Up Close and Personal (1996)::Drama|Romance
151::Rob Roy (1995)::Drama|Romance|War
163::Desperado (1995)::Action|Romance|Thriller
168::First Knight (1995)::Action|Adventure|Drama|Romance
179::Mad Love (1995)::Drama|Romance
182::Moonlight and Valentino (1995)::Drama|Romance
195::Something to Talk About (1995)::Comedy|Drama|Romance
202::Total Eclipse (1995)::Drama|Romance
207::Walk in the Clouds, A (1995)::Drama|Romance
215::Before Sunrise (1995)::Drama|Romance
222::Circle of Friends (1995)::Drama|Romance
224::Don Juan DeMarco (1995)::Comedy|Drama|Romance
236::French Kiss (1995)::Comedy|Romance
237::Forget Paris (1995)::Comedy|Romance
239::Goofy Movie, A (1995)::Animation|Children's|Comedy|Romance
247::Heavenly Creatures (1994)::Drama|Fantasy|Romance|Thriller
249::Immortal Beloved (1994)::Drama|Romance
252::I.Q. (1994)::Comedy|Romance
258::Kid in King Arthur's Court, A (1995)::Adventure|Children's|Comedy|Fantasy|Romance
265::Like Water for Chocolate (Como agua para chocolate) (1992)::Drama|Romance
266::Legends of the Fall (1994)::Drama|Romance|War|Western
270::Love Affair (1994)::Drama|Romance
276::Milk Money (1994)::Comedy|Romance
287::Nina Takes a Lover (1994)::Comedy|Romance
289::Only You (1994)::Comedy|Romance
293::Professional, The (a.k.a. Leon: The Professional) (1994)::Crime|Drama|Romance|Thriller
294::Perez Family, The (1995)::Comedy|Romance
295::Pyromaniac's Love Story, A (1995)::Comedy|Romance
301::Picture Bride (1995)::Drama|Romance
302::Queen Margot (La Reine Margot) (1994)::Drama|Romance
339::While You Were Sleeping (1995)::Comedy|Romance
342::Muriel's Wedding (1994)::Comedy|Romance
351::Corrina, Corrina (1994)::Comedy|Drama|Romance
353::Crow, The (1994)::Action|Romance|Thriller
356::Forrest Gump (1994)::Comedy|Romance|War
357::Four Weddings and a Funeral (1994)::Comedy|Romance
359::I Like It Like That (1994)::Comedy|Drama|Romance
361::It Could Happen to You (1994)::Drama|Romance
362::Jungle Book, The (1994)::Adventure|Children's|Romance
377::Speed (1994)::Action|Romance|Thriller
378::Speechless (1994)::Comedy|Romance
380::True Lies (1994)::Action|Adventure|Comedy|Romance
389::Colonel Chabert, Le (1994)::Drama|Romance|War
417::Barcelona (1994)::Comedy|Romance
425::Blue Sky (1994)::Drama|Romance
427::Boxing Helena (1993)::Mystery|Romance|Thriller
440::Dave (1993)::Comedy|Romance
444::Even Cowgirls Get the Blues (1993)::Comedy|Romance
446::Farewell My Concubine (1993)::Drama|Romance
447::Favor, The (1994)::Comedy|Romance
451::Flesh and Bone (1993)::Drama|Mystery|Romance
461::Go Fish (1994)::Drama|Romance
468::Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)::Comedy|Romance
469::House of the Spirits, The (1993)::Drama|Romance
471::Hudsucker Proxy, The (1994)::Comedy|Romance
496::What Happened Was... (1994)::Comedy|Drama|Romance
497::Much Ado About Nothing (1993)::Comedy|Romance
498::Mr. Jones (1993)::Drama|Romance
499::Mr. Wonderful (1993)::Comedy|Romance
509::Piano, The (1993)::Drama|Romance
513::Radioland Murders (1994)::Comedy|Mystery|Romance
534::Shadowlands (1993)::Drama|Romance
539::Sleepless in Seattle (1993)::Comedy|Romance
543::So I Married an Axe Murderer (1993)::Comedy|Romance|Thriller
550::Threesome (1994)::Comedy|Romance
555::True Romance (1993)::Action|Crime|Romance
566::Naked in New York (1994)::Comedy|Romance
587::Ghost (1990)::Comedy|Romance|Thriller
597::Pretty Woman (1990)::Comedy|Romance
605::One Fine Day (1996)::Drama|Romance
613::Jane Eyre (1996)::Drama|Romance
618::Two Much (1996)::Comedy|Romance
623::Modern Affair, A (1995)::Romance
630::Carried Away (1996)::Drama|Romance
638::Jack and Sarah (1995)::Romance
654::Und keiner weint mir nach (1996)::Drama|Romance
687::Country Life (1994)::Drama|Romance
690::Promise, The (Versprechen, Das) (1994)::Romance
691::Mrs. Winterbourne (1996)::Comedy|Romance
697::Feeling Minnesota (1996)::Drama|Romance
708::Truth About Cats & Dogs, The (1996)::Comedy|Romance
736::Twister (1996)::Action|Adventure|Romance|Thriller
752::Vermont Is For Lovers (1992)::Comedy|Romance
764::Heavy (1995)::Drama|Romance
779::'Til There Was You (1997)::Drama|Romance
788::Nutty Professor, The (1996)::Comedy|Fantasy|Romance|Sci-Fi
802::Phenomenon (1996)::Drama|Romance
803::Walking and Talking (1996)::Romance
804::She's the One (1996)::Comedy|Romance
807::Rendezvous in Paris (Rendez-vous de Paris, Les) (1995)::Comedy|Romance
821::Crude Oasis, The (1995)::Romance
825::Echte Kerle (1996)::Comedy|Romance
838::Emma (1996)::Comedy|Drama|Romance
852::Tin Cup (1996)::Comedy|Romance
866::Bound (1996)::Crime|Drama|Romance|Thriller
889::1-900 (1994)::Romance
892::Twelfth Night (1996)::Comedy|Drama|Romance
894::Liebelei (1933)::Romance
898::Philadelphia Story, The (1940)::Comedy|Romance
